date,city,driving_waze,state
2020-05-23,Shah Alam,-47.0,Selangor
2020-05-24,Shah Alam,-48.0,Selangor
2020-05-25,Shah Alam,-61.0,Selangor
2020-05-26,Shah Alam,-56.00000000000001,Selangor
2020-05-27,Shah Alam,-34.0,Selangor
2020-05-28,Shah Alam,-40.0,Selangor
2020-05-29,Shah Alam,-44.0,Selangor
2020-05-30,Shah Alam,-45.0,Selangor
2020-05-31,Shah Alam,-48.0,Selangor
2020-06-01,Shah Alam,-27.0,Selangor
2020-06-02,Shah Alam,-25.0,Selangor
2020-06-03,Shah Alam,-27.0,Selangor
2020-06-04,Shah Alam,-26.0,Selangor
2020-06-05,Shah Alam,-32.0,Selangor
2020-06-06,Shah Alam,-36.0,Selangor
2020-06-07,Shah Alam,-45.0,Selangor
2020-06-08,Shah Alam,-40.0,Selangor
2020-06-09,Shah Alam,-21.0,Selangor
2020-06-10,Shah Alam,-15.0,Selangor
2020-06-11,Shah Alam,-21.0,Selangor
2020-06-12,Shah Alam,-25.0,Selangor
2020-06-13,Shah Alam,-28.000000000000004,Selangor
2020-06-14,Shah Alam,-14.000000000000002,Selangor
2020-06-15,Shah Alam,-10.0,Selangor
2020-06-16,Shah Alam,-14.000000000000002,Selangor
2020-06-17,Shah Alam,-15.0,Selangor
2020-06-18,Shah Alam,-15.0,Selangor
2020-06-19,Shah Alam,-19.0,Selangor
2020-06-20,Shah Alam,-24.0,Selangor
2020-06-21,Shah Alam,-11.0,Selangor
2020-06-22,Shah Alam,-8.0,Selangor
2020-06-23,Shah Alam,-9.0,Selangor
2020-06-24,Shah Alam,-7.000000000000001,Selangor
2020-06-25,Shah Alam,-8.0,Selangor
2020-06-26,Shah Alam,-15.0,Selangor
2020-06-27,Shah Alam,-17.0,Selangor
2020-06-28,Shah Alam,-13.0,Selangor
2020-06-29,Shah Alam,-4.0,Selangor
2020-06-30,Shah Alam,-6.0,Selangor
2020-07-01,Shah Alam,0.0,Selangor
2020-07-02,Shah Alam,-13.0,Selangor
2020-07-03,Shah Alam,-12.0,Selangor
2020-07-04,Shah Alam,-13.0,Selangor
2020-07-05,Shah Alam,-8.0,Selangor
2020-07-06,Shah Alam,1.0,Selangor
2020-07-07,Shah Alam,-6.0,Selangor
2020-07-08,Shah Alam,0.0,Selangor
2020-07-09,Shah Alam,-5.0,Selangor
2020-07-10,Shah Alam,-12.0,Selangor
2020-07-11,Shah Alam,-13.0,Selangor
