date,city,congestion,diffRatio
2021-01-19,Kuala Lumpur,18,-0.4193548387096774
2021-01-20,Kuala Lumpur,16,-0.4838709677419355
2021-01-21,Kuala Lumpur,17,-0.4848484848484848
2021-01-22,Kuala Lumpur,18,-0.5263157894736842
2021-01-23,Kuala Lumpur,13,-0.48
2021-01-24,Kuala Lumpur,9,-0.25
2021-01-25,Kuala Lumpur,20,-0.2592592592592592
2021-01-26,Kuala Lumpur,19,-0.3870967741935484
2021-01-27,Kuala Lumpur,23,-0.2580645161290322
2021-01-28,Kuala Lumpur,12,-0.6363636363636364
2021-01-29,Kuala Lumpur,20,-0.4736842105263157
2021-01-30,Kuala Lumpur,15,-0.4
2021-01-31,Kuala Lumpur,10,-0.1666666666666666
2021-02-01,Kuala Lumpur,19,-0.2962962962962963
2021-02-02,Kuala Lumpur,24,-0.2258064516129032
2021-02-03,Kuala Lumpur,23,-0.2580645161290322
2021-02-04,Kuala Lumpur,22,-0.3333333333333333
2021-02-05,Kuala Lumpur,24,-0.3684210526315789
2021-02-06,Kuala Lumpur,18,-0.28
2021-02-07,Kuala Lumpur,11,-0.0833333333333333
2021-02-08,Kuala Lumpur,27,0.0
2021-02-09,Kuala Lumpur,26,-0.1612903225806451
2021-02-10,Kuala Lumpur,25,-0.1935483870967742
2021-02-11,Kuala Lumpur,17,-0.4848484848484848
2021-02-12,Kuala Lumpur,10,-0.7368421052631579
2021-02-13,Kuala Lumpur,10,-0.6
2021-02-14,Kuala Lumpur,10,-0.1666666666666666
2021-02-15,Kuala Lumpur,16,-0.4074074074074074
2021-02-16,Kuala Lumpur,18,-0.4193548387096774
2021-02-17,Kuala Lumpur,23,-0.2580645161290322
2021-02-18,Kuala Lumpur,23,-0.303030303030303
2021-02-19,Kuala Lumpur,25,-0.3421052631578947
2021-02-20,Kuala Lumpur,20,-0.2
2021-02-21,Kuala Lumpur,13,0.0833333333333333
2021-02-22,Kuala Lumpur,26,-0.037037037037037
2021-02-23,Kuala Lumpur,25,-0.1935483870967742
2021-02-24,Kuala Lumpur,26,-0.1612903225806451
2021-02-25,Kuala Lumpur,26,-0.2121212121212121
2021-02-26,Kuala Lumpur,31,-0.1842105263157894
2021-02-27,Kuala Lumpur,25,0.0
2021-02-28,Kuala Lumpur,16,0.3333333333333333
2021-03-01,Kuala Lumpur,27,0.0
2021-03-02,Kuala Lumpur,32,0.032258064516129
2021-03-03,Kuala Lumpur,32,0.032258064516129
2021-03-04,Kuala Lumpur,29,-0.1212121212121212
2021-03-05,Kuala Lumpur,38,0.0
2021-03-06,Kuala Lumpur,37,0.48
2021-03-07,Kuala Lumpur,24,1.0
2021-03-08,Kuala Lumpur,36,0.3333333333333333
2021-03-09,Kuala Lumpur,35,0.1290322580645161
2021-03-10,Kuala Lumpur,36,0.1612903225806451
2021-03-11,Kuala Lumpur,34,0.0303030303030303
2021-03-12,Kuala Lumpur,42,0.1052631578947368
2021-03-13,Kuala Lumpur,34,0.36
2021-03-14,Kuala Lumpur,21,0.75
2021-03-15,Kuala Lumpur,38,0.4074074074074074
2021-03-16,Kuala Lumpur,35,0.1290322580645161
2021-03-17,Kuala Lumpur,38,0.2258064516129032
2021-03-18,Kuala Lumpur,36,0.0909090909090909
2021-03-19,Kuala Lumpur,37,-0.0263157894736842
2021-03-20,Kuala Lumpur,36,0.44
2021-03-21,Kuala Lumpur,21,0.75
2021-03-22,Kuala Lumpur,35,0.2962962962962963
2021-03-23,Kuala Lumpur,32,0.032258064516129
2021-03-24,Kuala Lumpur,35,0.1290322580645161
2021-03-25,Kuala Lumpur,40,0.2121212121212121
2021-03-26,Kuala Lumpur,38,0.0
2021-03-27,Kuala Lumpur,38,0.52
2021-03-28,Kuala Lumpur,22,0.8333333333333334
2021-03-29,Kuala Lumpur,39,0.4444444444444444
2021-03-30,Kuala Lumpur,32,0.032258064516129
2021-03-31,Kuala Lumpur,35,0.1290322580645161
2021-04-01,Kuala Lumpur,35,0.0606060606060606
2021-04-02,Kuala Lumpur,40,0.0526315789473684
2021-04-03,Kuala Lumpur,37,0.48
2021-04-04,Kuala Lumpur,23,0.9166666666666666
2021-04-05,Kuala Lumpur,48,0.7777777777777778
2021-04-06,Kuala Lumpur,44,0.4193548387096774
2021-04-07,Kuala Lumpur,47,0.5161290322580645
2021-04-08,Kuala Lumpur,42,0.2727272727272727
2021-04-09,Kuala Lumpur,50,0.3157894736842105
2021-04-10,Kuala Lumpur,41,0.64
2021-04-11,Kuala Lumpur,28,1.3333333333333333
2021-04-12,Kuala Lumpur,54,1.0
2021-04-13,Kuala Lumpur,47,0.5161290322580645
2021-04-14,Kuala Lumpur,47,0.5161290322580645
2021-04-15,Kuala Lumpur,48,0.4545454545454545
2021-04-16,Kuala Lumpur,42,0.1052631578947368
2021-04-17,Kuala Lumpur,29,0.16
2021-04-18,Kuala Lumpur,17,0.4166666666666667
2021-04-19,Kuala Lumpur,37,0.3703703703703703
2021-04-20,Kuala Lumpur,38,0.2258064516129032
